sysnum,title
001704007,"Genom Sveriges Bygder. Skildringar af vårt land och folk ... Tredje upplagan, genomsedd och tillökad af J. P. Velander. Med 545 illustrationer"
002686114,"Chez les Abarambos. Ce que devient l'Afrique mystérieuse, etc"
003485095,Never Give In. A tale of the life and times of Gustavus Adolphus
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc"
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
003605161,Ballads and Songs ... With original illustrations by H. M. Brock
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
003443692,Kjøbenhavns Belejring og Fyens Gjenerobring ... 1658-59. Efter Forfatterens Død samlede af P. Fr. Rist og H. w. Harbou
002486743,The Official Guide to the Midland Railway ... Abridged and popular edition. Illustrated
003159008,The Metallurgy of Gold ... Second edition
003324299,"Études historiques sur Raucourt et Haraucourt et la région avoisinante, etc"
001656304,"[The Bravest of the Brave: or, With Peterborough in Spain. ... With ... illustrations, etc.]"
001144078,"Conquest of the Country Northwest of the River Ohio, 1778-1783, and life of Gen. George Rogers Clark. Over one hundred and twenty-five illustrations. With numerous sketches of men who served under Clark, etc"
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc"
001567835,"The Half Hour Library of Travel, Nature and Science for young readers"
001668893,"Amyas Egerton, Cavalier. [A romance.]"
003821060,"The Forgotten Isles. Impressions of travel in the Balearic Isles, Corsica, and Sardinia. Rendered into English by F. Breton. With ... illustrations by the author"
003501199,[A Child's Garden of Verses ... Second edition.]
000487642,The Century Book of Famous Americans. The story of a young people's pilgrimage to historic homes. With ... illustrations
002300588,"Afrikanische Frühlings-italienische Sommer-Tage. Federskizzen eines Touristen über Algier, Tunis, Sicilien, Capri, etc"
001567835,"The Half Hour Library of Travel, Nature and Science for young readers"
003057425,"Petroleum: a treatise on the geographical distribution and geological occurrence of petroleum and natural gas ... By B. Redwood, assisted by G. T. Holloway, and other contributors ... With maps, etc"
002500254,[Milne's Express Series.]
002784658,Notes in Japan ... With illustrations by the author
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
001352199,Songs for Little People. [With illustrations by H. Stratton.]
001567835,"The Half Hour Library of Travel, Nature and Science for young readers"
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc"
000489690,[A Treatise on Mine-surveying ... With ... diagrams.]
000433665,"Le Grand siècle. Louis XIV. Les arts, les idées, etc. [With plates.]"
003375787,The Burman ... By Shway Yoe
003257008,A Noble Wife. A novel
000383667,[A Charge to Keep.]
000115608,“The Cobbler o' Kirkiebrae.” A romance of Galloway
002536380,Worth While. (Lady Jane.) [Tales.]
001283481,"The Milwaukee Guide, containing a general description of the city of Milwaukee ... a map, etc"
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc"
000489690,[A Treatise on Mine-surveying ... With ... diagrams.]
003886316,Travel-Pictures from Palestine ... Illustrated by A. Twidle
000495563,[The Story of Africa and its Explorers. [With plates and maps.]]
001910294,The Growth of the American Nation
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
002643019,"Rhymes of the States. With drawings, etc"
